UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
syslog       562       1     562  0    4 17:55 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog       562       1     588  0    4 17:55 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog       562       1     589  0    4 17:55 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
syslog       562       1     590  0    4 17:55 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         566       1     566  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1     735  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1     736  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1     737  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1     738  0    9 17:55 ?        00:00:03 /usr/lib/snapd/snapd
root         566       1     743  0    9 17:55 ?        00:00:03 /usr/lib/snapd/snapd
root         566       1     744  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1     745  0    9 17:55 ?        00:00:00 /usr/lib/snapd/snapd
root         566       1    6495  0    9 18:15 ?        00:00:00 /usr/lib/snapd/snapd
root         567       1     567  0    3 17:55 ?        00:00:00 /usr/libexec/switcheroo-control
root         567       1     585  0    3 17:55 ?        00:00:00 /usr/libexec/switcheroo-control
root         567       1     611  0    3 17:55 ?        00:00:00 /usr/libexec/switcheroo-control
root         570       1     570  0    1 17:55 ?        00:00:00 /lib/systemd/systemd-logind
root         574       1     574  0    5 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root         574       1     580  0    5 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root         574       1     609  0    5 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root         574       1     636  0    5 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root         574       1     657  0    5 17:55 ?        00:00:00 /usr/lib/udisks2/udisksd
root         579       1     579  0    1 17:55 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        587     528     587  0    1 17:55 ?        00:00:00 avahi-daemon: chroot helper
root         615       1     615  0    3 17:55 ?        00:00:00 /usr/sbin/cups-browsed
root         615       1     642  0    3 17:55 ?        00:00:00 /usr/sbin/cups-browsed
root         615       1     643  0    3 17:55 ?        00:00:00 /usr/sbin/cups-browsed
root         633       1     633  0    3 17:55 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         633       1     649  0    3 17:55 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         633       1     653  0    3 17:55 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         648       1     648  0    2 17:55 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         648       1     659  0    2 17:55 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
whoopsie     677       1     677  0    3 17:55 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie     677       1     703  0    3 17:55 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie     677       1     707  0    3 17:55 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     680       1     680  0    1 17:55 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     691       1     691  0    1 17:55 ?        00:00:00 /usr/sbin/kerneloops
root         706       2     706  0    1 17:55 ?        00:00:00 [iprt-VBoxWQueue]
root         718       2     718  0    1 17:55 ?        00:00:00 [iprt-VBoxTscThr]
root         872       1     872  0    3 17:56 ?        00:00:00 /usr/sbin/gdm3
root         872       1     874  0    3 17:56 ?        00:00:00 /usr/sbin/gdm3
root         872       1     875  0    3 17:56 ?        00:00:00 /usr/sbin/gdm3
root         884       1     884  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     885  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     886  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     887  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     888  0    9 17:56 ?        00:00:01 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     889  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     890  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     891  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root         884       1     892  0    9 17:56 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
rtkit        944       1     944  0    3 17:56 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit        944       1     945  0    3 17:56 ?        00:00:00 /usr/libexec/rtkit-daemon
rtkit        944       1     946  0    3 17:56 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1003       1    1003  0    3 17:56 ?        00:00:00 /usr/lib/upower/upowerd
root        1003       1    1013  0    3 17:56 ?        00:00:00 /usr/lib/upower/upowerd
root        1003       1    1014  0    3 17:56 ?        00:00:00 /usr/lib/upower/upowerd
colord      1218       1    1218  0    3 17:56 ?        00:00:00 /usr/libexec/colord
colord      1218       1    1221  0    3 17:56 ?        00:00:00 /usr/libexec/colord
colord      1218       1    1223  0    3 17:56 ?        00:00:00 /usr/libexec/colord
root        1253     872    1253  0    3 17:56 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        1253     872    1254  0    3 17:56 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root        1253     872    1255  0    3 17:56 ?        00:00:00 gdm-session-worker [pam/gdm-password]
priya       1259       1    1259  0    1 17:56 ?        00:00:00 /lib/systemd/systemd --user
priya       1260    1259    1260  0    1 17:56 ?        00:00:00 (sd-pam)
priya       1267    1259    1267  0    4 17:56 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
priya       1267    1259    1353  0    4 17:56 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
priya       1267    1259    1415  0    4 17:56 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
priya       1267    1259    1476  0    4 17:56 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
priya       1269    1259    1269  0    5 17:56 ?        00:00:00 /usr/libexec/tracker-miner-fs
priya       1269    1259    1276  0    5 17:56 ?        00:00:00 /usr/libexec/tracker-miner-fs
priya       1269    1259    1278  0    5 17:56 ?        00:00:00 /usr/libexec/tracker-miner-fs
priya       1269    1259    1285  0    5 17:56 ?        00:00:00 /usr/libexec/tracker-miner-fs
priya       1269    1259    1350  0    5 17:56 ?        00:00:00 /usr/libexec/tracker-miner-fs
priya       1271       1    1271  0    4 17:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
priya       1271       1    1272  0    4 17:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
priya       1271       1    1273  0    4 17:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
priya       1271       1    1519  0    4 17:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
priya       1275    1259    1275  0    1 17:56 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
priya       1279    1259    1279  0    3 17:56 ?        00:00:00 /usr/libexec/gvfsd
priya       1279    1259    1280  0    3 17:56 ?        00:00:00 /usr/libexec/gvfsd
priya       1279    1259    1281  0    3 17:56 ?        00:00:00 /usr/libexec/gvfsd
priya       1284    1259    1284  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1284    1259    1302  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1284    1259    1303  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1284    1259    1304  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1284    1259    1305  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1284    1259    1308  0    6 17:56 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
priya       1297    1259    1297  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
priya       1297    1259    1298  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
priya       1297    1259    1301  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
priya       1297    1259    1309  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
priya       1307    1253    1307  0    3 17:56 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
priya       1307    1253    1310  0    3 17:56 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
priya       1307    1253    1356  0    3 17:56 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
priya       1311    1307    1311  1    6 17:56 tty2     00:01:25 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1311    1307    1332  0    6 17:56 tty2     00:00:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1311    1307    1333  0    6 17:56 tty2     00:00:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1311    1307    1334  0    6 17:56 tty2     00:00:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1311    1307    1335  0    6 17:56 tty2     00:00:00 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1311    1307    1357  0    6 17:56 tty2     00:00:06 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
priya       1313    1259    1313  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
priya       1313    1259    1314  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
priya       1313    1259    1316  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
priya       1317    1259    1317  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
priya       1317    1259    1318  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
priya       1317    1259    1319  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
priya       1317    1259    1322  0    4 17:56 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
priya       1323    1259    1323  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
priya       1323    1259    1324  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
priya       1323    1259    1326  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
priya       1327    1259    1327  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
priya       1327    1259    1328  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
priya       1327    1259    1329  0    3 17:56 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
priya       1331    1259    1331  0    4 17:56 ?        00:00:00 /usr/libexec/goa-daemon
priya       1331    1259    1338  0    4 17:56 ?        00:00:00 /usr/libexec/goa-daemon
priya       1331    1259    1340  0    4 17:56 ?        00:00:00 /usr/libexec/goa-daemon
priya       1331    1259    1341  0    4 17:56 ?        00:00:00 /usr/libexec/goa-daemon
priya       1344    1259    1344  0    3 17:56 ?        00:00:00 /usr/libexec/goa-identity-service
priya       1344    1259    1347  0    3 17:56 ?        00:00:00 /usr/libexec/goa-identity-service
priya       1344    1259    1349  0    3 17:56 ?        00:00:00 /usr/libexec/goa-identity-service
priya       1360    1307    1360  0    3 17:56 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
priya       1360    1307    1487  0    3 17:56 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
