    PID     LWP TTY          TIME CMD
   1267    1476 ?        00:00:00 snapd-glib
   1269    1269 ?        00:00:00 tracker-miner-f
   1269    1276 ?        00:00:00 gmain
   1269    1278 ?        00:00:00 gdbus
   1269    1285 ?        00:00:00 dconf worker
   1269    1350 ?        00:00:00 pool-tracker-mi
   1271    1271 ?        00:00:00 gnome-keyring-d
   1271    1272 ?        00:00:00 gmain
   1271    1273 ?        00:00:00 gdbus
   1271    1519 ?        00:00:00 timer
   1275    1275 ?        00:00:01 dbus-daemon
   1279    1279 ?        00:00:00 gvfsd
   1279    1280 ?        00:00:00 gmain
   1279    1281 ?        00:00:00 gdbus
   1284    1284 ?        00:00:00 gvfsd-fuse
   1284    1302 ?        00:00:00 gvfsd-fuse
   1284    1303 ?        00:00:00 gvfsd-fuse
   1284    1304 ?        00:00:00 gmain
   1284    1305 ?        00:00:00 gdbus
   1284    1308 ?        00:00:00 gvfs-fuse-sub
   1297    1297 ?        00:00:00 gvfs-udisks2-vo
   1297    1298 ?        00:00:00 gmain
   1297    1301 ?        00:00:00 gdbus
   1297    1309 ?        00:00:00 dconf worker
   1307    1307 tty2     00:00:00 gdm-x-session
   1307    1310 tty2     00:00:00 gmain
   1307    1356 tty2     00:00:00 gdbus
   1311    1311 tty2     00:01:45 Xorg
   1311    1332 tty2     00:00:00 Xorg:disk$0
   1311    1333 tty2     00:00:00 Xorg:disk$1
   1311    1334 tty2     00:00:00 Xorg:disk$2
   1311    1335 tty2     00:00:00 Xorg:disk$3
   1311    1357 tty2     00:00:07 InputThread
   1313    1313 ?        00:00:00 gvfs-gphoto2-vo
   1313    1314 ?        00:00:00 gmain
   1313    1316 ?        00:00:00 gdbus
   1317    1317 ?        00:00:00 gvfs-afc-volume
   1317    1318 ?        00:00:00 gvfs-afc-volume
   1317    1319 ?        00:00:00 gmain
   1317    1322 ?        00:00:00 gdbus
   1323    1323 ?        00:00:00 gvfs-mtp-volume
   1323    1324 ?        00:00:00 gmain
   1323    1326 ?        00:00:00 gdbus
   1327    1327 ?        00:00:00 gvfs-goa-volume
   1327    1328 ?        00:00:00 gmain
   1327    1329 ?        00:00:00 gdbus
   1331    1331 ?        00:00:00 goa-daemon
   1331    1338 ?        00:00:00 gmain
   1331    1340 ?        00:00:00 gdbus
   1331    1341 ?        00:00:00 dconf worker
   1344    1344 ?        00:00:00 goa-identity-se
   1344    1347 ?        00:00:00 gmain
   1344    1349 ?        00:00:00 gdbus
   1360    1360 tty2     00:00:00 gnome-session-b
   1360    1487 tty2     00:00:00 gmain
